
2024/12/25 (03:26:09) | ===> btop++ v.1.4.0
2024/12/25 (03:26:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (03:37:34) | ===> btop++ v.1.4.0
2024/12/25 (03:37:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (03:42:12) | ===> btop++ v.1.4.0
2024/12/25 (03:42:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (03:48:31) | ===> btop++ v.1.4.0
2024/12/25 (03:48:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:31:45) | ===> btop++ v.1.4.0
2024/12/26 (12:31:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:35:14) | ===> btop++ v.1.4.0
2024/12/26 (12:35:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:38:20) | ===> btop++ v.1.4.0
2024/12/26 (12:38:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:45:23) | ===> btop++ v.1.4.0
2024/12/26 (12:45:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:47:12) | ===> btop++ v.1.4.0
2024/12/26 (12:47:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:53:23) | ===> btop++ v.1.4.0
2024/12/26 (12:53:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:13:49) | ===> btop++ v.1.4.0
2024/12/26 (13:13:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:15:29) | ===> btop++ v.1.4.0
2024/12/26 (13:15:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:23:27) | ===> btop++ v.1.4.0
2024/12/26 (13:23:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (16:29:17) | ===> btop++ v.1.4.0
2024/12/26 (16:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (16:40:06) | ===> btop++ v.1.4.0
2024/12/26 (16:40:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (16:40:31) | ===> btop++ v.1.4.0
2024/12/26 (16:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (21:17:03) | ===> btop++ v.1.4.0
2024/12/26 (21:17:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (21:27:57) | ===> btop++ v.1.4.0
2024/12/26 (21:27:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (21:29:23) | ===> btop++ v.1.4.0
2024/12/26 (21:29:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (00:58:21) | ===> btop++ v.1.4.0
2024/12/27 (00:58:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (01:00:30) | ===> btop++ v.1.4.0
2024/12/27 (01:00:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (01:20:41) | ===> btop++ v.1.4.0
2024/12/27 (01:20:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (22:59:15) | ===> btop++ v.1.4.0
2024/12/27 (22:59:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (23:04:47) | ===> btop++ v.1.4.0
2024/12/27 (23:04:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (00:58:02) | ===> btop++ v.1.4.0
2024/12/28 (00:58:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (01:15:02) | ===> btop++ v.1.4.0
2024/12/28 (01:15:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (01:27:25) | ===> btop++ v.1.4.0
2024/12/28 (01:27:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (01:27:36) | ===> btop++ v.1.4.0
2024/12/28 (01:27:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (01:30:36) | ===> btop++ v.1.4.0
2024/12/28 (01:30:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (01:30:59) | ===> btop++ v.1.4.0
2024/12/28 (01:30:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (01:35:34) | ===> btop++ v.1.4.0
2024/12/28 (01:35:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (16:33:48) | ===> btop++ v.1.4.0
2024/12/28 (16:33:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (16:50:06) | ===> btop++ v.1.4.0
2024/12/28 (16:50:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (01:13:23) | ===> btop++ v.1.4.0
2024/12/29 (01:13:23) | WARNING: Intel GPU: Failed to initialize PMU
